source_node_id;soure_node_entity;sink_node_id;sind_node_entity;association_type;sequence
77481;Issue;15624;Version;IssueFixVersion;
77483;Issue;13941;Component;IssueComponent;
77484;Issue;12512;Component;IssueComponent;
77484;Issue;15433;Version;IssueVersion;
77485;Issue;12442;Component;IssueComponent;
77485;Issue;15407;Version;IssueFixVersion;
77485;Issue;15433;Version;IssueVersion;
77486;Issue;12511;Component;IssueComponent;
77486;Issue;12531;Component;IssueComponent;
77486;Issue;15433;Version;IssueVersion;
77488;Issue;13616;Component;IssueComponent;
77488;Issue;14340;Component;IssueComponent;
77488;Issue;14640;Version;IssueFixVersion;
77488;Issue;14640;Version;IssueVersion;
77488;Issue;15304;Version;IssueFixVersion;
77490;Issue;18034;Component;IssueComponent;
77490;Issue;18130;Component;IssueComponent;
77490;Issue;20046;Version;IssueVersion;
77491;Issue;13941;Component;IssueComponent;
77492;Issue;12442;Component;IssueComponent;
77492;Issue;15433;Version;IssueVersion;
77492;Issue;17254;Version;IssueFixVersion;
77493;Issue;13616;Component;IssueComponent;
77493;Issue;14340;Component;IssueComponent;
77493;Issue;14640;Version;IssueFixVersion;
77493;Issue;14640;Version;IssueVersion;
77494;Issue;12515;Component;IssueComponent;
77494;Issue;15407;Version;IssueFixVersion;
77494;Issue;15433;Version;IssueVersion;
77495;Issue;14321;Component;IssueComponent;
77495;Issue;15433;Version;IssueVersion;
77495;Issue;16427;Version;IssueFixVersion;
77496;Issue;12516;Component;IssueComponent;
77496;Issue;15433;Version;IssueVersion;
77496;Issue;15607;Version;IssueFixVersion;
77497;Issue;13616;Component;IssueComponent;
77497;Issue;14640;Version;IssueFixVersion;
77497;Issue;14640;Version;IssueVersion;
77498;Issue;12448;Component;IssueComponent;
77498;Issue;15313;Version;IssueVersion;
77500;Issue;14321;Component;IssueComponent;
77500;Issue;15607;Version;IssueVersion;
77500;Issue;16001;Version;IssueFixVersion;
77501;Issue;12511;Component;IssueComponent;
77501;Issue;12516;Component;IssueComponent;
77501;Issue;15313;Version;IssueVersion;
77501;Issue;15607;Version;IssueFixVersion;
77501;Issue;15624;Version;IssueFixVersion;
77502;Issue;15604;Version;IssueFixVersion;
77503;Issue;13616;Component;IssueComponent;
77503;Issue;14340;Component;IssueComponent;
77503;Issue;14640;Version;IssueFixVersion;
77505;Issue;14640;Version;IssueFixVersion;
77508;Issue;14321;Component;IssueComponent;
77508;Issue;15433;Version;IssueVersion;
77508;Issue;16427;Version;IssueFixVersion;
77509;Issue;13616;Component;IssueComponent;
77509;Issue;14340;Component;IssueComponent;
77509;Issue;14640;Version;IssueFixVersion;
77509;Issue;14640;Version;IssueVersion;
77510;Issue;14640;Version;IssueFixVersion;
77511;Issue;15604;Version;IssueFixVersion;
77512;Issue;12511;Component;IssueComponent;
77512;Issue;12531;Component;IssueComponent;
77512;Issue;15433;Version;IssueVersion;
77513;Issue;13616;Component;IssueComponent;
77513;Issue;14640;Version;IssueFixVersion;
77514;Issue;13616;Component;IssueComponent;
77514;Issue;14340;Component;IssueComponent;
77514;Issue;14640;Version;IssueFixVersion;
77514;Issue;14640;Version;IssueVersion;
77514;Issue;15304;Version;IssueFixVersion;
77515;Issue;12511;Component;IssueComponent;
77515;Issue;12531;Component;IssueComponent;
77515;Issue;15433;Version;IssueVersion;
77515;Issue;15521;Version;IssueFixVersion;
77515;Issue;15567;Version;IssueFixVersion;
77518;Issue;12512;Component;IssueComponent;
77518;Issue;12803;Component;IssueComponent;
77518;Issue;15433;Version;IssueVersion;
77518;Issue;15607;Version;IssueFixVersion;
77519;Issue;14345;Component;IssueComponent;
77519;Issue;14402;Component;IssueComponent;
77519;Issue;14522;Component;IssueComponent;
77520;Issue;13616;Component;IssueComponent;
77520;Issue;14640;Version;IssueFixVersion;
77522;Issue;13818;Component;IssueComponent;
77522;Issue;13820;Component;IssueComponent;
77527;Issue;13616;Component;IssueComponent;
77527;Issue;14640;Version;IssueFixVersion;
77527;Issue;14640;Version;IssueVersion;
77528;Issue;12442;Component;IssueComponent;
77528;Issue;15433;Version;IssueVersion;
77529;Issue;12511;Component;IssueComponent;
77529;Issue;12531;Component;IssueComponent;
77529;Issue;15433;Version;IssueVersion;
77529;Issue;15567;Version;IssueFixVersion;
77529;Issue;15607;Version;IssueFixVersion;
77530;Issue;12511;Component;IssueComponent;
77530;Issue;12531;Component;IssueComponent;
77530;Issue;15433;Version;IssueVersion;
77530;Issue;15521;Version;IssueFixVersion;
77530;Issue;15567;Version;IssueFixVersion;
77535;Issue;14726;Version;IssueFixVersion;
77538;Issue;12442;Component;IssueComponent;
77538;Issue;15407;Version;IssueFixVersion;
77538;Issue;15433;Version;IssueVersion;
77539;Issue;13870;Component;IssueComponent;
77539;Issue;17011;Component;IssueComponent;
77546;Issue;16526;Version;IssueFixVersion;
