ID;CUSTOMFIELDTYPEKEY;CUSTOMFIELDSEARCHERKEY;cfname;DESCRIPTION;defaultvalue;FIELDTYPE;PROJECT;ISSUETYPE;cfkey;lastvalueupdate;issueswithvalue
16101;com.atlassian.jira.plugin.system.customfieldtypes:multiversion;com.atlassian.jira.plugin.system.customfieldtypes:versionsearcher;geplantes Release;Bitte tragen Sie hier das Release ein, in dem die Story/der Fehler umgesetzt werden soll.;;;;;;2025-01-13 16:29:07.140;9461.0
16200;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Checkliste-Initiative;;;;;;;2023-10-26 11:10:25.480;54.0
16300;com.atlassian.jira.plugin.system.customfieldtypes:textfield;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;keycloak-client-id;;;;;;;2023-02-27 15:35:04.140;1.0
16301;com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;keycloak-environment;;;;;;;;1.0
16302;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;keycloak-owner-primary;;;;;;;2023-02-27 15:35:04.140;1.0
16303;com.atlassian.jira.plugin.system.customfieldtypes:userpicker;com.atlassian.jira.plugin.system.customfieldtypes:userpickergroupsearcher;keycloak-owner-secondary;;;;;;;2023-02-27 15:35:04.140;1.0
16305;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;keycloak-realm;;;;;;;2023-02-27 15:35:04.140;1.0
16306;com.atlassian.jira.plugin.system.customfieldtypes:radiobuttons;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;keycloak-stage;;;;;;;;1.0
16401;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;Gesamtstatus;;;;;;;2024-11-08 15:08:52.317;67.0
16402;com.okapya.jira.checklist:checklist;com.okapya.jira.checklist:checklist-searcher;Abnahme - Checklist;;;;;;;2025-01-13 12:29:06.930;1125.0
16403;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Abnahmebedingung/-einschränkung;;;;;;;2025-01-10 09:15:23.927;246.0
16404;com.atlassian.jira.plugin.system.customfieldtypes:textarea;com.atlassian.jira.plugin.system.customfieldtypes:textsearcher;Operativer Impact;;;;;;;2024-12-11 11:11:59.023;170.0
16500;com.atlassian.jira.plugin.system.customfieldtypes:float;com.atlassian.jira.plugin.system.customfieldtypes:exactnumber;SubPrio_alt;;;;;;;2023-03-28 11:05:40.363;1.0
16501;com.atlassian.jira.plugin.system.customfieldtypes:select;com.atlassian.jira.plugin.system.customfieldtypes:multiselectsearcher;SubPrio;;;;;;;2025-01-13 08:29:06.543;489.0
